order_id,order_amount,order_status,finish_time,rent_museum_id,use_count
14211,100.0,5,09/20/2018,5,80
14212,100.0,5,09/20/2018,5,31
14218,100.0,5,09/20/2018,5,74
14219,100.0,5,09/20/2018,5,128
14221,100.0,5,09/20/2018,5,100
14223,100.0,5,09/20/2018,5,61
14224,100.0,5,09/20/2018,5,103
14225,100.0,5,09/20/2018,5,38
14227,100.0,5,09/20/2018,5,132
14228,100.0,5,09/20/2018,5,161
14229,100.0,5,09/20/2018,5,52
14230,100.0,5,09/20/2018,5,76
14231,100.0,5,09/20/2018,5,61
14232,100.0,5,09/20/2018,5,76
14233,100.0,5,09/20/2018,5,70
14234,100.0,5,09/20/2018,5,50
14235,100.0,5,09/20/2018,5,37
14236,100.0,5,09/20/2018,5,97
14237,100.0,5,09/20/2018,5,75
14238,100.0,5,09/20/2018,5,91
14243,100.0,5,09/21/2018,5,1094
14245,100.0,5,09/21/2018,5,110
14246,100.0,5,09/21/2018,5,22
14258,100.0,5,09/21/2018,5,48
14259,100.0,5,09/21/2018,5,24
14260,100.0,5,09/21/2018,5,44
15033,100.0,5,09/26/2018,5,114
15036,100.0,5,09/26/2018,5,76
15037,100.0,5,09/26/2018,5,109
15038,100.0,5,09/26/2018,5,20
15039,100.0,5,09/26/2018,5,226
15040,100.0,5,09/26/2018,5,335
15041,100.0,5,09/26/2018,5,120
15042,100.0,5,09/27/2018,5,431
15043,100.0,5,09/27/2018,5,195
15044,100.0,5,09/27/2018,5,16495
15045,100.0,5,09/27/2018,5,473
15046,100.0,5,09/27/2018,5,16634
15047,100.0,5,09/27/2018,5,10466
15054,100.0,5,09/27/2018,5,13152
15055,100.0,5,09/27/2018,5,15269
15057,100.0,5,09/27/2018,5,175
15066,100.0,5,09/27/2018,5,12936
15067,100.0,5,09/27/2018,5,12600
15073,100.0,5,09/27/2018,5,8426
15085,100.0,5,09/27/2018,5,7918
15086,100.0,5,09/27/2018,5,7631
15097,100.0,5,09/27/2018,5,9667
15099,100.0,5,09/27/2018,5,12150
15101,100.0,5,09/27/2018,5,9494
15102,100.0,5,09/27/2018,5,12000
15104,100.0,5,09/27/2018,5,10926
15113,100.0,5,09/27/2018,5,26
15114,100.0,5,09/27/2018,5,86
15115,100.0,5,09/28/2018,5,17083
15117,100.0,5,09/28/2018,5,9145
15118,100.0,5,09/28/2018,5,3592
15119,100.0,5,09/28/2018,5,10254
15120,100.0,5,09/28/2018,5,133
15129,100.0,5,09/28/2018,5,11260
15130,100.0,5,09/28/2018,5,11308
15131,100.0,5,09/28/2018,5,14004
15133,100.0,5,09/28/2018,5,19870
15134,100.0,5,09/28/2018,5,6776
15135,100.0,5,09/28/2018,5,18108
15141,100.0,5,09/28/2018,5,6072
15142,100.0,5,09/28/2018,5,84
15147,100.0,5,09/28/2018,5,4589
15150,100.0,5,09/28/2018,5,14719
15157,100.0,5,09/28/2018,5,14698
15162,100.0,5,09/28/2018,5,8978
15163,100.0,5,09/28/2018,5,5750
15164,100.0,5,09/28/2018,5,8955
15165,100.0,5,09/28/2018,5,15458
15166,100.0,5,09/28/2018,5,11119
15172,100.0,5,09/28/2018,5,7795
15177,100.0,5,09/28/2018,5,10444
